'y-axis saved as y
'x,LKL063_Sr85Na15Pd3O4_testingdecomp.xy,Ycalc,Diff,SrPd3O4
7.95275,1741,0,0,0
7.96588,1718,0,0,0
7.97901,1703,0,0,0
7.99214,1748,0,0,0
8.00527,1743,0,0,0
8.0184,1806,0,0,0
8.03153,1699,0,0,0
8.04466,1752,0,0,0
8.05779,1756,0,0,0
8.07092,1748,0,0,0
8.08405,1639,0,0,0
8.09718,1689,0,0,0
8.11031,1795,0,0,0
8.12344,1710,0,0,0
8.13657,1715,0,0,0
8.1497,1701,0,0,0
8.16283,1735,0,0,0
8.17596,1703,0,0,0
8.18909,1645,0,0,0
8.20222,1705,0,0,0
8.21535,1679,0,0,0
8.22848,1739,0,0,0
8.24161,1653,0,0,0
8.25474,1657,0,0,0
8.26787,1728,0,0,0
8.281,1653,0,0,0
8.29414,1687,0,0,0
8.30727,1746,0,0,0
8.3204,1706,0,0,0
8.33353,1694,0,0,0
8.34666,1705,0,0,0
8.35979,1713,0,0,0
8.37292,1691,0,0,0
8.38605,1674,0,0,0
8.39918,1640,0,0,0
8.41231,1686,0,0,0
8.42544,1656,0,0,0
8.43857,1720,0,0,0
8.4517,1564,0,0,0
8.46483,1688,0,0,0
8.47796,1668,0,0,0
8.49109,1600,0,0,0
8.50422,1651,0,0,0
8.51735,1619,0,0,0
8.53048,1667,0,0,0
8.54361,1603,0,0,0
8.55674,1665,0,0,0
8.56987,1678,0,0,0
8.583,1692,0,0,0
8.59613,1698,0,0,0
8.60926,1671,0,0,0
8.62239,1672,0,0,0
8.63552,1668,0,0,0
8.64865,1773,0,0,0
8.66178,1620,0,0,0
8.67491,1636,0,0,0
8.68804,1609,0,0,0
8.70117,1661,0,0,0
8.7143,1684,0,0,0
8.72743,1611,0,0,0
8.74056,1670,0,0,0
8.75369,1720,0,0,0
8.76683,1639,0,0,0
8.77996,1607,0,0,0
8.79309,1694,0,0,0
8.80622,1683,0,0,0
8.81935,1641,0,0,0
8.83248,1650,0,0,0
8.84561,1624,0,0,0
8.85874,1656,0,0,0
8.87187,1683,0,0,0
8.885,1550,0,0,0
8.89813,1610,0,0,0
8.91126,1609,0,0,0
8.92439,1660,0,0,0
8.93752,1632,0,0,0
8.95065,1662,0,0,0
8.96378,1643,0,0,0
8.97691,1626,0,0,0
8.99004,1615,0,0,0
9.00317,1619,0,0,0
9.0163,1576,0,0,0
9.02943,1696,0,0,0
9.04256,1628,0,0,0
9.05569,1652,0,0,0
9.06882,1626,0,0,0
9.08195,1633,0,0,0
9.09508,1586,0,0,0
9.10821,1621,0,0,0
9.12134,1659,0,0,0
9.13447,1515,0,0,0
9.1476,1760,0,0,0
9.16073,1517,0,0,0
9.17386,1646,0,0,0
9.18699,1600,0,0,0
9.20012,1547,0,0,0
9.21325,1544,0,0,0
9.22639,1581,0,0,0
9.23952,1605,0,0,0
9.25265,1571,0,0,0
9.26578,1619,0,0,0
9.27891,1575,0,0,0
9.29204,1538,0,0,0
9.30517,1616,0,0,0
9.3183,1551,0,0,0
9.33143,1510,0,0,0
9.34456,1581,0,0,0
9.35769,1562,0,0,0
9.37082,1596,0,0,0
9.38395,1543,0,0,0
9.39708,1578,0,0,0
9.41021,1580,0,0,0
9.42334,1517,0,0,0
9.43647,1598,0,0,0
9.4496,1543,0,0,0
9.46273,1534,0,0,0
9.47586,1556,0,0,0
9.48899,1600,0,0,0
9.50212,1566,0,0,0
9.51525,1535,0,0,0
9.52838,1531,0,0,0
9.54151,1478,0,0,0
9.55464,1519,0,0,0
9.56777,1513,0,0,0
9.5809,1588,0,0,0
9.59403,1564,0,0,0
9.60716,1577,0,0,0
9.62029,1568,0,0,0
9.63342,1510,0,0,0
9.64655,1493,0,0,0
9.65968,1557,0,0,0
9.67281,1478,0,0,0
9.68594,1595,0,0,0
9.69908,1538,0,0,0
9.71221,1497,0,0,0
9.72534,1556,0,0,0
9.73847,1551,0,0,0
9.7516,1542,0,0,0
9.76473,1457,0,0,0
9.77786,1529,0,0,0
9.79099,1585,0,0,0
9.80412,1540,0,0,0
9.81725,1553,0,0,0
9.83038,1543,0,0,0
9.84351,1497,0,0,0
9.85664,1480,0,0,0
9.86977,1568,0,0,0
9.8829,1495,0,0,0
9.89603,1533,0,0,0
9.90916,1495,0,0,0
9.92229,1526,0,0,0
9.93542,1441,0,0,0
9.94855,1473,0,0,0
9.96168,1541,0,0,0
9.97481,1518,0,0,0
9.98794,1411,0,0,0
10.00107,1512,0,0,0
10.0142,1533,0,0,0
10.02733,1416,0,0,0
10.04046,1448,0,0,0
10.05359,1439,0,0,0
10.06672,1488,0,0,0
10.07985,1518,0,0,0
10.09298,1460,0,0,0
10.10611,1485,0,0,0
10.11924,1478,0,0,0
10.13237,1511,0,0,0
10.1455,1434,0,0,0
10.15863,1472,0,0,0
10.17177,1422,0,0,0
10.1849,1424,0,0,0
10.19803,1410,0,0,0
10.21116,1469,0,0,0
10.22429,1450,0,0,0
10.23742,1446,0,0,0
10.25055,1454,0,0,0
10.26368,1485,0,0,0
10.27681,1489,0,0,0
10.28994,1474,0,0,0
10.30307,1409,0,0,0
10.3162,1420,0,0,0
10.32933,1348,0,0,0
10.34246,1439,0,0,0
10.35559,1394,0,0,0
10.36872,1464,0,0,0
10.38185,1461,0,0,0
10.39498,1476,0,0,0
10.40811,1340,0,0,0
10.42124,1402,0,0,0
10.43437,1473,0,0,0
10.4475,1407,0,0,0
10.46063,1421,0,0,0
10.47376,1441,0,0,0
10.48689,1401,0,0,0
10.50002,1470,0,0,0
10.51315,1416,0,0,0
10.52628,1395,0,0,0
10.53941,1413,0,0,0
10.55254,1394,0,0,0
10.56567,1406,0,0,0
10.5788,1399,0,0,0
10.59193,1357,0,0,0
10.60506,1362,0,0,0
10.61819,1371,0,0,0
10.63132,1429,0,0,0
10.64446,1423,0,0,0
10.65759,1361,0,0,0
10.67072,1408,0,0,0
10.68385,1362,0,0,0
10.69698,1412,0,0,0
10.71011,1403,0,0,0
10.72324,1416,0,0,0
10.73637,1327,0,0,0
10.7495,1348,0,0,0
10.76263,1395,0,0,0
10.77576,1344,0,0,0
10.78889,1385,0,0,0
10.80202,1358,0,0,0
10.81515,1297,0,0,0
10.82828,1400,0,0,0
10.84141,1422,0,0,0
10.85454,1406,0,0,0
10.86767,1349,0,0,0
10.8808,1373,0,0,0
10.89393,1373,0,0,0
10.90706,1335,0,0,0
10.92019,1368,0,0,0
10.93332,1329,0,0,0
10.94645,1306,0,0,0
10.95958,1304,0,0,0
10.97271,1345,0,0,0
10.98584,1333,0,0,0
10.99897,1358,0,0,0
11.0121,1341,0,0,0
11.02523,1409,0,0,0
11.03836,1362,0,0,0
11.05149,1367,0,0,0
11.06462,1370,0,0,0
11.07775,1375,0,0,0
11.09088,1344,0,0,0
11.10402,1300,0,0,0
11.11715,1346,0,0,0
11.13028,1318,0,0,0
11.14341,1276,0,0,0
11.15654,1368,0,0,0
11.16967,1270,0,0,0
11.1828,1329,0,0,0
11.19593,1315,0,0,0
11.20906,1314,0,0,0
11.22219,1313,0,0,0
11.23532,1254,0,0,0
11.24845,1341,0,0,0
11.26158,1269,0,0,0
11.27471,1319,0,0,0
11.28784,1370,0,0,0
11.30097,1215,0,0,0
11.3141,1271,0,0,0
11.32723,1273,0,0,0
11.34036,1287,0,0,0
11.35349,1244,0,0,0
11.36662,1257,0,0,0
11.37975,1233,0,0,0
11.39288,1241,0,0,0
11.40601,1238,0,0,0
11.41914,1364,0,0,0
11.43227,1289,0,0,0
11.4454,1286,0,0,0
11.45853,1244,0,0,0
11.47166,1223,0,0,0
11.48479,1240,0,0,0
11.49792,1317,0,0,0
11.51105,1262,0,0,0
11.52418,1287,0,0,0
11.53731,1306,0,0,0
11.55044,1298,0,0,0
11.56357,1241,0,0,0
11.57671,1303,0,0,0
11.58984,1255,0,0,0
11.60297,1301,0,0,0
11.6161,1243,0,0,0
11.62923,1230,0,0,0
11.64236,1242,0,0,0
11.65549,1270,0,0,0
11.66862,1149,0,0,0
11.68175,1208,0,0,0
11.69488,1269,0,0,0
11.70801,1257,0,0,0
11.72114,1177,0,0,0
11.73427,1233,0,0,0
11.7474,1235,0,0,0
11.76053,1221,0,0,0
11.77366,1171,0,0,0
11.78679,1210,0,0,0
11.79992,1252,0,0,0
11.81305,1224,0,0,0
11.82618,1187,0,0,0
11.83931,1228,0,0,0
11.85244,1246,0,0,0
11.86557,1220,0,0,0
11.8787,1185,0,0,0
11.89183,1208,0,0,0
11.90496,1147,0,0,0
11.91809,1256,0,0,0
11.93122,1207,0,0,0
11.94435,1200,0,0,0
11.95748,1253,0,0,0
11.97061,1184,0,0,0
11.98374,1176,0,0,0
11.99687,1237,0,0,0
12.01,1178,0,0,0
12.02313,1200,0,0,0
12.03626,1196,0,0,0
12.0494,1164,0,0,0
12.06253,1203,0,0,0
12.07566,1158,0,0,0
12.08879,1164,0,0,0
12.10192,1147,0,0,0
12.11505,1167,0,0,0
12.12818,1191,0,0,0
12.14131,1120,0,0,0
12.15444,1145,0,0,0
12.16757,1122,0,0,0
12.1807,1177,0,0,0
12.19383,1177,0,0,0
12.20696,1123,0,0,0
12.22009,1137,0,0,0
12.23322,1196,0,0,0
12.24635,1148,0,0,0
12.25948,1127,0,0,0
12.27261,1115,0,0,0
12.28574,1206,0,0,0
12.29887,1145,0,0,0
12.312,1149,0,0,0
12.32513,1208,0,0,0
12.33826,1149,0,0,0
12.35139,1137,0,0,0
12.36452,1129,0,0,0
12.37765,1113,0,0,0
12.39078,1204,0,0,0
12.40391,1150,0,0,0
12.41704,1130,0,0,0
12.43017,1172,0,0,0
12.4433,1087,0,0,0
12.45643,1151,0,0,0
12.46956,1122,0,0,0
12.48269,1180,0,0,0
12.49582,1165,0,0,0
12.50896,1120,0,0,0
12.52209,1096,0,0,0
12.53522,1081,0,0,0
12.54835,1074,0,0,0
12.56148,1103,0,0,0
12.57461,1113,0,0,0
12.58774,1076,0,0,0
12.60087,1108,0,0,0
12.614,1109,0,0,0
12.62713,1135,0,0,0
12.64026,1049,0,0,0
12.65339,1108,0,0,0
12.66652,1113,0,0,0
12.67965,1163,0,0,0
12.69278,1069,0,0,0
12.70591,1103,0,0,0
12.71904,1125,0,0,0
12.73217,1108,0,0,0
12.7453,1135,0,0,0
12.75843,1022,0,0,0
12.77156,1072,0,0,0
12.78469,1053,0,0,0
12.79782,1091,0,0,0
12.81095,1119,0,0,0
12.82408,1109,0,0,0
12.83721,1056,0,0,0
12.85034,1104,0,0,0
12.86347,1081,0,0,0
12.8766,1095,0,0,0
12.88973,1082,0,0,0
12.90286,1064,0,0,0
12.91599,1059,0,0,0
12.92912,1066,0,0,0
12.94225,1066,0,0,0
12.95538,1087,0,0,0
12.96851,1086,0,0,0
12.98165,1049,0,0,0
12.99478,1019,0,0,0
13.00791,1071,0,0,0
13.02104,1042,0,0,0
13.03417,1063,0,0,0
13.0473,1049,0,0,0
13.06043,1090,0,0,0
13.07356,1025,0,0,0
13.08669,1016,0,0,0
13.09982,1072,0,0,0
13.11295,1053,0,0,0
13.12608,1104,0,0,0
13.13921,1057,0,0,0
13.15234,1030,0,0,0
13.16547,1077,0,0,0
13.1786,1057,0,0,0
13.19173,994,0,0,0
13.20486,989,0,0,0
13.21799,1045,0,0,0
13.23112,1029,0,0,0
13.24425,1052,0,0,0
13.25738,1059,0,0,0
13.27051,1031,0,0,0
13.28364,1009,0,0,0
13.29677,1076,0,0,0
13.3099,1013,0,0,0
13.32303,991,0,0,0
13.33616,1006,0,0,0
13.34929,1079,0,0,0
13.36242,1006,0,0,0
13.37555,1027,0,0,0
13.38868,978,0,0,0
13.40181,1006,0,0,0
13.41494,1026,0,0,0
13.42807,1030,0,0,0
13.4412,1013,0,0,0
13.45434,1002,0,0,0
13.46747,1022,0,0,0
13.4806,973,0,0,0
13.49373,964,0,0,0
13.50686,1045,0,0,0
13.51999,980,0,0,0
13.53312,986,0,0,0
13.54625,999,0,0,0
13.55938,991,0,0,0
13.57251,995,0,0,0
13.58564,998,0,0,0
13.59877,983,0,0,0
13.6119,980,0,0,0
13.62503,1008,0,0,0
13.63816,996,0,0,0
13.65129,1016,0,0,0
13.66442,955,0,0,0
13.67755,962,0,0,0
13.69068,946,0,0,0
13.70381,914,0,0,0
13.71694,992,0,0,0
13.73007,974,0,0,0
13.7432,993,0,0,0
13.75633,964,0,0,0
13.76946,972,0,0,0
13.78259,992,0,0,0
13.79572,1009,0,0,0
13.80885,979,0,0,0
13.82198,977,0,0,0
13.83511,947,0,0,0
13.84824,906,0,0,0
13.86137,911,0,0,0
13.8745,951,0,0,0
13.88763,978,0,0,0
13.90076,947,0,0,0
13.91389,954,0,0,0
13.92703,991,0,0,0
13.94016,944,0,0,0
